"Participant_ID","Accuracy","AccuracyAtLeast75","AccuracyAtLeast90","Age","Sex","Education","Trial","Cue","Flanker","RT","Visual_Acuity"
4,1,1,1,76,"Female",0,84,"DOUBLE","INCONGRUENT",600,0.4
4,1,1,1,76,"Female",0,23,"NOCUE","CONGRUENT",748,0.4
4,1,1,1,76,"Female",0,60,"CENTRAL","INCONGRUENT",928,0.4
4,1,1,1,76,"Female",0,57,"NOCUE","CONGRUENT",564,0.4
4,1,1,1,76,"Female",0,52,"CENTRAL","INCONGRUENT",737,0.4
4,1,1,1,76,"Female",0,66,"CENTRAL","INCONGRUENT",521,0.4
4,1,1,1,76,"Female",0,51,"DOUBLE","INCONGRUENT",565,0.4
4,1,1,1,76,"Female",0,27,"SPATIAL","CONGRUENT",930,0.4
4,1,1,1,76,"Female",0,79,"NOCUE","INCONGRUENT",761,0.4
4,1,1,1,76,"Female",0,5,"NOCUE","INCONGRUENT",626,0.4
4,1,1,1,76,"Female",0,80,"DOUBLE","CONGRUENT",1064,0.4
4,1,1,1,76,"Female",0,61,"SPATIAL","INCONGRUENT",536,0.4
4,1,1,1,76,"Female",0,77,"DOUBLE","INCONGRUENT",655,0.4
4,1,1,1,76,"Female",0,54,"CENTRAL","CONGRUENT",703,0.4
4,1,1,1,76,"Female",0,72,"SPATIAL","INCONGRUENT",755,0.4
4,1,1,1,76,"Female",0,29,"SPATIAL","CONGRUENT",573,0.4
4,1,1,1,76,"Female",0,83,"SPATIAL","CONGRUENT",1005,0.4
4,1,1,1,76,"Female",0,63,"SPATIAL","INCONGRUENT",622,0.4
